ligne,arret,equipement_impacte,type_equipement,id,cause,remise_en_service,date,heure,execution_time
B,Saxe - Gambetta,Escalier mécanique  de la mezzanine sud  jusqu'à la sortie avenue Jean Jaurès,Escalier,,Panne,Samedi 31 mai 2025 à 17:30,2025/05/31,17:30,20250415-1449
B,Jean Macé,Ascenseur n°451 direction St-Genis-Laval Hôpital Lyon Sud et accès place Jean Macé,Ascenseur,451,Panne,Mardi 15 avril 2025 à 19:30,2025/04/15,19:30,20250415-1449
B,Jean Macé,Ascenseur n°452 direction Charpennes et accès place Jean Macé,Ascenseur,452,Panne,Mardi 15 avril 2025 à 20:30,2025/04/15,20:30,20250415-1449
B,Jean Macé,Escalier mécanique  du quai direction St-Genis-Laval Hôpital Lyon Sud jusqu'à la sortie place Jean Macé (côté rue Parmentier),Escalier,,Panne,Mardi 20 mai 2025 à 17:30,2025/05/20,17:30,20250415-1449
B,Debourg,Escalier mécanique  du quai direction St-Genis-Laval Hôpital Lyon Sud jusqu'à la sortie avenue Jean Jaures,Escalier,,Panne,Vendredi 30 mai 2025 à 17:30,2025/05/30,17:30,20250415-1449
B,Debourg,Escalier mécanique  du quai direction Charpennes jusqu'à la sortie avenue Jean Jaures,Escalier,,Panne,Mercredi 14 mai 2025 à 17:30,2025/05/14,17:30,20250415-1449
B,Gare Part-Dieu V.Merle,Escalier mécanique  du quai direction St-Genis-Laval Hôpital Lyon Sud jusqu'à la mezzanine niveau centre commercial,Escalier,,Panne,Dimanche 11 mai 2025 à 19:30,2025/05/11,19:30,20250415-1449
B,Gare Part-Dieu V.Merle,Escalier mécanique  de la mezzanine niveau centre commercial jusqu'au quai direction St-Genis-Laval Hôpital Lyon Sud,Escalier,,Entretien programmé,Vendredi 2 mai 2025 à 17:30,2025/05/02,17:30,20250415-1449
B,Gare Part-Dieu V.Merle,Escalier mécanique  du quai direction Charpennes (par couloir de liaison direction gare de la Part Dieu) jusqu'à la mezzanine niveau Point Contact.,Escalier,,Entretien programmé,Mardi 15 avril 2025 à 20:30,2025/04/15,20:30,20250415-1449
B,Place Jean Jaurès,Ascenseur n°462 direction Charpennes et accès avenue Jean Jaurès,Ascenseur,462,Panne,Samedi 31 mai 2025 à 17:30,2025/05/31,17:30,20250415-1449
B,Place Jean Jaurès,Escalier mécanique  du quai direction St-Genis-Laval Hôpital Lyon Sud jusqu'à la sortie avenue Jean Jaures,Escalier,,Panne,Jeudi 17 avril 2025 à 17:30,2025/04/17,17:30,20250415-1449
B,Place Jean Jaurès,Escalier mécanique  du quai direction Charpennes jusqu'à la sortie avenue Jean Jaures,Escalier,,Panne,Jeudi 17 avril 2025 à 17:30,2025/04/17,17:30,20250415-1449
B,Stade de Gerland Le LOU,Ascenseur n°481 correspondance entre le quai direction St-Genis-Laval Hôpital Lyon Sud et la mezzanine,Ascenseur,481,Panne,Samedi 10 mai 2025 à 17:30,2025/05/10,17:30,20250415-1449
B,Stade de Gerland Le LOU,Ascenseur n°483 correspondance entre la mezzanine et l'avenue Jean Jaurès,Ascenseur,483,Panne,Samedi 31 mai 2025 à 17:30,2025/05/31,17:30,20250415-1449
B,Stade de Gerland Le LOU,Escalier mécanique  de la mezzanine niveau Point Contact jusqu'au quai direction Charpennes,Escalier,,Panne,Mercredi 14 mai 2025 à 14:30,2025/05/14,14:30,20250415-1449
B,Stade de Gerland Le LOU,Escalier mécanique  de la mezzanine niveau Point Contact jusqu'à la sortie avenue Jean Jaurès,Escalier,,Panne,Mercredi 14 mai 2025 à 17:30,2025/05/14,17:30,20250415-1449
B,Charpennes Charles Hernu,Escalier mécanique  du quai direction St-Genis-Laval Hôpital Lyon Sud jusqu'à la place Charles Hernu,Escalier,,Panne,Dimanche 25 mai 2025 à 17:30,2025/05/25,17:30,20250415-1449
B,Oullins Centre,Escalier mécanique  entre la mezzanine supérieure et la place Anatole France côté rue Voltaire,Escalier,,Panne,Vendredi 25 avril 2025 à 17:30,2025/04/25,17:30,20250415-1449
D,Bellecour,"Ascenseur n°261 direction Vaulx-en-Velin La Soie, correspondance ligne A direction Perrache et  ligne D, direction Gare de Vénissieux ou Gare de Vaise",Ascenseur,261,Panne,Mercredi 30 avril 2025 à 14:30,2025/04/30,14:30,20250415-1449
D,Bellecour,Escalier mécanique  du quai direction Vaulx-en-Velin La Soie jusqu'à la sortie place Bellecour,Escalier,,Panne,Mercredi 30 avril 2025 à 19:30,2025/04/30,19:30,20250415-1449
D,Bellecour,Escalier mécanique  du by-pass de correspondance ligne D / ligne A jusqu'au quai ligne A direction Vaulx-en-Velin La Soie,Escalier,,Entretien programmé,Mercredi 30 avril 2025 à 15:30,2025/04/30,15:30,20250415-1449
D,Bellecour,Escalier mécanique  du quai central jusqu'à la mezzanine sud (côté Antonin Poncet),Escalier,,Panne,Mercredi 30 avril 2025 à 19:30,2025/04/30,19:30,20250415-1449
D,Bellecour,Escalier mécanique  du quai central jusqu'à la mezzanine sud (côté Antonin Poncet),Escalier,,Panne,Mardi 15 avril 2025 à 16:00,2025/04/15,16:00,20250415-1449
D,Bellecour,Escalier mécanique  de la mezzanine sud (côté Antonin Poncet) jusqu'à la sortie place Antonin Poncet (face à la Poste),Escalier,,Entretien programmé,Mercredi 30 avril 2025 à 11:00,2025/04/30,11:00,20250415-1449
D,Laennec,Escalier mécanique  du quai direction Gare de Vaise jusqu'à la sortie rue Guillaume Paradin,Escalier,,Entretien programmé,Jeudi 15 mai 2025 à 19:30,2025/05/15,19:30,20250415-1449
D,Laennec,Escalier mécanique  du quai direction Gare de Vénissieux jusqu'à la sortie rue Guillaume Paradin,Escalier,,Entretien programmé,Jeudi 15 mai 2025 à 18:00,2025/05/15,18:00,20250415-1449
D,Saxe - Gambetta,"Ascenseur n°441 direction Charpennes, correspondance Ligne D Gare de Vaise ou Gare de Vénissieux",Ascenseur,441,Panne,Vendredi 18 avril 2025 à 23:00,2025/04/18,23:00,20250415-1449
D,Saxe - Gambetta,Escalier mécanique  du quai direction St-Genis-Laval Hôpital Lyon Sud jusqu'à la mezzanine nord (niveau ligne D direction Gare de Vaise),Escalier,,Panne,Samedi 31 mai 2025 à 17:30,2025/05/31,17:30,20250415-1449
D,Saxe - Gambetta,Escalier mécanique  du quai direction St-Genis-Laval Hôpital Lyon Sud jusqu'à la mezzanine sud (niveau sortie avenue Jean Jaurès),Escalier,,Panne,Samedi 31 mai 2025 à 17:30,2025/05/31,17:30,20250415-1449
D,Saxe - Gambetta,Escalier mécanique  du quai direction Charpennes jusqu'à la mezzanine sud (niveau sortie avenue Jean Jaurès),Escalier,,Panne,Samedi 31 mai 2025 à 17:30,2025/05/31,17:30,20250415-1449
D,Saxe - Gambetta,Escalier mécanique  de la mezzanine nord (niveau ligne D direction Gare de Vaise) jusqu'à la sortie angle avenue Jean Jaurès / avenue de Saxe,Escalier,,Panne,Vendredi 18 avril 2025 à 14:30,2025/04/18,14:30,20250415-1449
D,Saxe - Gambetta,Escalier mécanique  de la mezzanine sud  jusqu'à la sortie avenue Jean Jaurès,Escalier,,Panne,Samedi 31 mai 2025 à 17:30,2025/05/31,17:30,20250415-1449
D,Monplaisir Lumière,Escalier mécanique  du quai direction Gare de Vénissieux jusqu'à la sortie cours Albert Thomas,Escalier,,Entretien programmé,Vendredi 30 mai 2025 à 09:30,2025/05/30,09:30,20250415-1449
D,Sans Souci,Escalier mécanique  du quai direction Gare de Vénissieux jusqu'à la sortie cours Albert Thomas,Escalier,,Entretien programmé,Vendredi 30 mai 2025 à 18:00,2025/05/30,18:00,20250415-1449
D,Garibaldi,Escalier mécanique  du quai direction Gare de Vaise jusqu'à la mezzanine,Escalier,,Panne,Mercredi 30 avril 2025 à 14:30,2025/04/30,14:30,20250415-1449
D,Garibaldi,Escalier mécanique  du quai direction Gare de Vénissieux jusqu'à la mezzanine,Escalier,,Entretien programmé,Samedi 31 mai 2025 à 20:30,2025/05/31,20:30,20250415-1449
D,Garibaldi,Escalier mécanique  de la mezzanine jusqu'à la sortie cours Gambetta,Escalier,,Panne,Mercredi 30 avril 2025 à 18:30,2025/04/30,18:30,20250415-1449
D,Gorge de Loup,"Ascenseur n°822 direction Gare de Vénissieux, correspondance quai direction Gare de Vaise, accès Gare Routière ou Gare SNCF et rue Sergent Michel Berthet",Ascenseur,822,Entretien programmé,Mardi 15 avril 2025 à 16:30,2025/04/15,16:30,20250415-1449
D,Gorge de Loup,"Escalier mécanique  sortie Place Basse (côté agence commerciale) niveau Parc Relais, jusqu'à la mezzanine niveau départ gare de bus, rue Sergent Michel Berthet",Escalier,,Panne,Samedi 10 mai 2025 à 10:30,2025/05/10,10:30,20250415-1449
D,Valmy,Escalier mécanique  de la mezzanine jusqu'à la sortie place Valmy,Escalier,,Entretien programmé,Lundi 30 juin 2025 à 18:00,2025/06/30,18:00,20250415-1449
D,Gare de Vaise-G.Collomb,"Ascenseur n°848 Parc Relais, ascenseur de droite",Ascenseur,848,Entretien programmé,Mardi 15 avril 2025 à 16:30,2025/04/15,16:30,20250415-1449
D,Gare de Vaise-G.Collomb,Escalier mécanique  sortie rue du 24 mars 1852.,Escalier,,Panne,Mardi 15 avril 2025 à 21:00,2025/04/15,21:00,20250415-1449
D,Gare de Vaise-G.Collomb,Escalier mécanique  du quai d'arrivée jusqu'à la mezzanine nord (côté gare routière),Escalier,,Panne,Mardi 13 mai 2025 à 20:30,2025/05/13,20:30,20250415-1449
D,Guillotière Gabriel Péri,Escalier mécanique  de la mezzanine (côté quai direction Gare de Vaise) jusqu'à la sortie cours Gambetta,Escalier,,Panne,Mercredi 30 avril 2025 à 16:30,2025/04/30,16:30,20250415-1449
D,Guillotière Gabriel Péri,Escalier mécanique  du quai direction Gare de Vénissieux jusqu'à la mezzanine,Escalier,,Panne,Mercredi 30 avril 2025 à 15:30,2025/04/30,15:30,20250415-1449
D,Gare de Vénissieux,Escalier mécanique  de la mezzanine vers le quai de départ direction Gare de Vaise,Escalier,,Entretien programmé,Samedi 31 mai 2025 à 12:00,2025/05/31,12:00,20250415-1449
D,Gare de Vénissieux,Escalier mécanique  de la mezzanine vers la passerelle SNCF,Escalier,,Panne,Mercredi 30 avril 2025 à 10:30,2025/04/30,10:30,20250415-1449
D,Grange Blanche,Escalier mécanique  de place d'Arsonval (descente de bus) jusqu'à la mezzanine face à la croissanterie,Escalier,,Entretien programmé,Mercredi 30 avril 2025 à 16:00,2025/04/30,16:00,20250415-1449
D,Grange Blanche,Escalier mécanique  de la mezzanine côté hôpital Edouard Herriot jusqu'à la sortie Hôpital Edouard Herriot,Escalier,,Panne,Vendredi 30 mai 2025 à 07:30,2025/05/30,07:30,20250415-1449
D,Parilly,Escalier mécanique  du quai direction Gare de Vaise jusqu'à la sortie rue de La Fontaine,Escalier,,Entretien programmé,Mercredi 30 avril 2025 à 17:00,2025/04/30,17:00,20250415-1449
D,Parilly,Escalier mécanique  du quai direction Gare de Vénissieux jusqu'à la sortie rue du Marché,Escalier,,Panne,Mercredi 30 avril 2025 à 10:30,2025/04/30,10:30,20250415-1449
F1,Minimes Théatres Romains,Ascenseur n°921 direction Saint-Just ou Vieux Lyon,Ascenseur,921,Panne,Mardi 15 avril 2025 à 16:30,2025/04/15,16:30,20250415-1449
