id;date_maj;code_lieu;code_station;nom_station;code_equipement;type_equipement;equipement;debut_indispo;cause;consequence;fin_indispo;gid;last_update_fme
1;2025-05-14 09:34:00;5004;41;Brotteaux;4101;ESCALIER;de la mezzanine jusqu'à la sortie Gare des Brotteaux;2025-04-22 00:00:00;Panne;.;2025-05-16 17:30:00;12440855;2025-05-14 09:35:01
2;2025-05-14 09:34:00;5102;21;Charpennes;2101;ESCALIER;du quai direction Perrache ou direction St-Genis-Laval Hôpital Lyon Sud par le couloir de liaison jusqu'à la sortie Place Charles Hernu;2025-05-11 00:00:00;Panne;.;2025-05-17 17:30:00;12440856;2025-05-14 09:35:01
3;2025-05-14 09:34:00;5102;21;Charpennes;2103;ESCALIER;du quai direction St-Genis-Laval Hôpital Lyon Sud jusqu'à la place Charles Hernu;2025-04-10 00:00:00;Panne;.;2025-06-15 17:30:00;12440857;2025-05-14 09:35:01
4;2025-05-14 09:34:00;5220;47;Debourg;4701;ESCALIER;du quai direction St-Genis-Laval Hôpital Lyon Sud jusqu'à la sortie avenue Jean Jaures;2025-01-21 00:00:00;Panne;.;2025-05-30 17:30:00;12440858;2025-05-14 09:35:01
5;2025-05-14 09:34:00;5520;42;Gare Part-Dieu V.Merle;4206;ESCALIER;du quai direction Charpennes (par couloir de liaison direction gare de la Part Dieu) jusqu'à la mezzanine niveau Point Contact.;2025-04-15 00:00:00;Panne;.;2025-06-15 17:30:00;12440859;2025-05-14 09:35:01
6;2025-05-14 09:34:00;5520;42;Gare Part-Dieu V.Merle;4209;ESCALIER;de la mezzanine niveau Point Contact (par couloir de liaison) jusqu'à la sortie Gare de la Part Dieu;2025-05-14 00:00:00;Panne;.;2025-05-14 11:00:00;12440860;2025-05-14 09:35:01
7;2025-05-14 09:34:00;5520;42;Gare Part-Dieu V.Merle;4210;ESCALIER;de la sortie de la gare de la Part Dieu jusqu'à la mezzanine niveau Point Contact (par couloir de liaison);2025-05-14 00:00:00;Panne;.;2025-05-14 11:00:00;12440861;2025-05-14 09:35:01
8;2025-05-14 09:34:00;5160;45;Jean Macé;451;ASCENSEUR;direction St-Genis-Laval Hôpital Lyon Sud et accès place Jean Macé;2025-05-06 00:00:00;Panne;Accès impossible direction Gare d'Oullins;2025-05-17 17:30:00;12440862;2025-05-14 09:35:01
9;2025-05-14 09:34:00;5160;45;Jean Macé;4501;ESCALIER;du quai direction St-Genis-Laval Hôpital Lyon Sud jusqu'à la sortie place Jean Macé (côté rue Parmentier);2025-03-20 00:00:00;Panne;.;2025-05-20 17:30:00;12440863;2025-05-14 09:35:01
10;2025-05-14 09:34:00;5936;51;Oullins Centre;511;ASCENSEUR;entre le quai direction St-Genis-Laval Hôpital Lyon Sud et la mezzanine supérieure;2025-05-12 00:00:00;Panne;connexion impossible entre le quai direction St-Genis-Laval Hôpital Lyon Sud et la mezzanine supérieure;2025-06-01 17:30:00;12440864;2025-05-14 09:35:01
