id;date_maj;code_lieu;code_station;nom_station;code_equipement;type_equipement;equipement;debut_indispo;cause;consequence;fin_indispo;gid;last_update_fme
1;2025-05-14 09:59:00;5004;41;Brotteaux;4101;ESCALIER;de la mezzanine jusqu'à la sortie Gare des Brotteaux;2025-04-22 00:00:00;Panne;.;2025-05-16 17:30:00;12441133;2025-05-14 10:00:01
2;2025-05-14 09:59:00;5102;21;Charpennes;2101;ESCALIER;du quai direction Perrache ou direction St-Genis-Laval Hôpital Lyon Sud par le couloir de liaison jusqu'à la sortie Place Charles Hernu;2025-05-11 00:00:00;Panne;.;2025-05-17 17:30:00;12441134;2025-05-14 10:00:01
3;2025-05-14 09:59:00;5102;21;Charpennes;2103;ESCALIER;du quai direction St-Genis-Laval Hôpital Lyon Sud jusqu'à la place Charles Hernu;2025-04-10 00:00:00;Panne;.;2025-06-15 17:30:00;12441135;2025-05-14 10:00:01
4;2025-05-14 09:59:00;5220;47;Debourg;4701;ESCALIER;du quai direction St-Genis-Laval Hôpital Lyon Sud jusqu'à la sortie avenue Jean Jaures;2025-01-21 00:00:00;Panne;.;2025-05-30 17:30:00;12441136;2025-05-14 10:00:01
5;2025-05-14 09:59:00;5520;42;Gare Part-Dieu V.Merle;4206;ESCALIER;du quai direction Charpennes (par couloir de liaison direction gare de la Part Dieu) jusqu'à la mezzanine niveau Point Contact.;2025-04-15 00:00:00;Panne;.;2025-06-15 17:30:00;12441137;2025-05-14 10:00:01
6;2025-05-14 09:59:00;5160;45;Jean Macé;451;ASCENSEUR;direction St-Genis-Laval Hôpital Lyon Sud et accès place Jean Macé;2025-05-06 00:00:00;Panne;Accès impossible direction Gare d'Oullins;2025-05-17 17:30:00;12441138;2025-05-14 10:00:01
7;2025-05-14 09:59:00;5160;45;Jean Macé;4501;ESCALIER;du quai direction St-Genis-Laval Hôpital Lyon Sud jusqu'à la sortie place Jean Macé (côté rue Parmentier);2025-03-20 00:00:00;Panne;.;2025-05-20 17:30:00;12441139;2025-05-14 10:00:01
8;2025-05-14 09:59:00;5936;51;Oullins Centre;511;ASCENSEUR;entre le quai direction St-Genis-Laval Hôpital Lyon Sud et la mezzanine supérieure;2025-05-12 00:00:00;Panne;connexion impossible entre le quai direction St-Genis-Laval Hôpital Lyon Sud et la mezzanine supérieure;2025-06-01 17:30:00;12441140;2025-05-14 10:00:01
9;2025-05-14 09:59:00;5936;51;Oullins Centre;5105;ESCALIER;entre la mezzanine supérieure et la place Anatole France côté rue de la République;2025-05-14 00:00:00;Panne;emprunter l'autre escalier mécanique si disponible (escalier n°5107 entre la mezzanine supérieure et la place Anatole France côté rue Voltaire);2025-05-14 11:30:00;12441141;2025-05-14 10:00:01
10;2025-05-14 09:59:00;5221;46;Place Jean Jaurès;462;ASCENSEUR;direction Charpennes et accès avenue Jean Jaurès;2025-03-25 00:00:00;Panne; Accès impossible direction Charpennes;2025-05-31 17:30:00;12441142;2025-05-14 10:00:01
11;2025-05-14 09:59:00;5221;46;Place Jean Jaurès;4601;ESCALIER;du quai direction St-Genis-Laval Hôpital Lyon Sud jusqu'à la sortie avenue Jean Jaures;2025-04-10 00:00:00;Panne;.;2025-05-31 17:30:00;12441143;2025-05-14 10:00:01
12;2025-05-14 09:59:00;5221;46;Place Jean Jaurès;4602;ESCALIER;du quai direction Charpennes jusqu'à la sortie avenue Jean Jaures;2025-03-25 00:00:00;Panne;.;2025-05-20 17:30:00;12441144;2025-05-14 10:00:01
13;2025-05-14 09:59:00;5092;44;Saxe - Gambetta;441;ASCENSEUR;direction Charpennes, correspondance Ligne D Gare de Vaise ou Gare de Vénissieux;2025-05-09 00:00:00;Panne;Accès impossible direction Charpennes.  Correspondance impossible Ligne B / Ligne D direction Gare de Vaise ou Gare de Vénissieux.;2025-05-17 21:30:00;12441145;2025-05-14 10:00:01
