Date màj;Code lieu;Code station;Nom station;Code équipement;Type équipement;Equipement;Début indispo;Cause;Conséquence;Fin indispo
2024-10-21 11:59:00;5004;41;Brotteaux;412;ASCENSEUR;du quai direction Charpennes, accès mezzanine de correspondance avec le quai direction St-Genis-Laval Hôpital Lyon Sud et accès place Jules Ferry;2024-10-21;Panne;Accès impossible à la station;2024-10-21 12:30:00
2024-10-21 11:59:00;5004;41;Brotteaux;411;ASCENSEUR;direction St-Genis-Laval Hôpital Lyon Sud, accès mezzanine de correspondance avec le quai direction Charpennes;2024-10-21;Panne;Accès impossible direction Gare d'Oullins;2024-10-21 12:30:00
2024-10-21 11:59:00;5102;21;Charpennes;212;ASCENSEUR;du quai direction Vaulx-en-Velin La Soie, correspondance ligne B direction Gare d'Oullins et accès cours Emile Zola;2024-10-21;Panne;Accès impossible direction Vaulx-en-Velin La Soie, correspondance ligne A direction Vaulx-en-Velin La Soie / ligne B impossible;2024-10-21 14:00:00
2024-10-21 11:59:00;5102;21;Charpennes;211;ASCENSEUR;du quai direction Perrache, correspondance ligne B direction St-Genis-Laval Hôp. Sud et accès cours Emile Zola;2024-10-21;Panne;Accès direct ligne A direction Perrache impossible. Emprunter l'ascenseur numéro 213 accès quai de départ ligne B et revenir par le couloir de liaison;2024-10-21 13:30:00
2024-10-21 11:59:00;5102;21;Charpennes;213;ASCENSEUR;du quai direction St-Genis-Laval Hôpital Lyon Sud, correspondance ligne A direction Perrache par le couloir de liaison, accès Place Charles Hernu.;2024-10-03;Panne;Accès direct ligne B direction Gare d'Oullins impossible. Emprunter l'ascenseur numéro 211 de la ligne A quai direction Perrache et revenir par le couloir de liaison;2024-11-15 08:30:00
2024-10-21 11:59:00;5102;21;Charpennes;2102;ESCALIER;du quai direction Vaulx-en-Velin La Soie jusqu'à la sortie angle cours Emile Zola / rue des Emeraudes;2024-10-21;Panne;.;2024-10-21 14:00:00
2024-10-21 11:59:00;5220;47;Debourg;471;ASCENSEUR;direction St-Genis-Laval Hôpital Lyon Sud et accès avenue Jean Jaurès;2024-10-21;Panne;Accès impossible direction Gare d'Oullins;2024-10-21 13:00:00
2024-10-21 11:59:00;5220;47;Debourg;472;ASCENSEUR;direction Charpennes et accès avenue Jean Jaurès;2024-10-21;Panne; Accès impossible direction Charpennes;2024-10-21 13:00:00
2024-10-21 11:59:00;5220;47;Debourg;4701;ESCALIER;du quai direction St-Genis-Laval Hôpital Lyon Sud jusqu'à la sortie avenue Jean Jaures;2024-06-06;Panne;.;2024-11-09 22:30:00
2024-10-21 11:59:00;5904;50;Gare d'Oullins;503;ASCENSEUR;correspondance entre la mezzanine et la rue côté Quai 1;2024-10-21;Panne;Accès à la station et accès SNCF impossibles;2024-10-21 13:00:00
2024-10-21 11:59:00;5904;50;Gare d'Oullins;502;ASCENSEUR;correspondance entre la mezzanine et le quai de départ direction Charpennes;2024-10-21;Panne;Accès impossible direction Charpennes;2024-10-21 13:00:00
2024-10-21 11:59:00;5904;50;Gare d'Oullins;501;ASCENSEUR;correspondance entre le quai d'arrivée et la mezzanine;2024-10-21;Panne;Sortie de la station impossible;2024-10-21 13:00:00
2024-10-21 11:59:00;5520;42;Gare Part-Dieu V.Merle;422;ASCENSEUR;direction Charpennes, correspondance avec la gare SNCF et accès Bd Vivier Merle;2024-10-21;Panne;Accès impossible direction Charpennes;2024-10-21 13:00:00
2024-10-21 11:59:00;5520;42;Gare Part-Dieu V.Merle;421;ASCENSEUR;direction St-Genis-Laval Hôpital Lyon Sud, correspondance avec la gare SNCF et accès Bd Vivier Merle;2024-10-21;Panne;Accès impossible direction Gare d'Oullins;2024-10-21 13:00:00
2024-10-21 11:59:00;5520;42;Gare Part-Dieu V.Merle;4206;ESCALIER;du quai direction Charpennes (par couloir de liaison direction gare de la Part Dieu) jusqu'à la mezzanine niveau Point Contact.;2024-10-17;Panne;.;2024-10-21 20:00:00
2024-10-21 11:59:00;5520;42;Gare Part-Dieu V.Merle;4209;ESCALIER;de la mezzanine niveau Point Contact (par couloir de liaison) jusqu'à la sortie Gare de la Part Dieu;2024-10-21;Panne;.;2024-10-21 13:00:00
2024-10-21 11:59:00;5520;42;Gare Part-Dieu V.Merle;4203;ESCALIER;de la mezzanine niveau centre commercial jusqu'au quai direction St-Genis-Laval Hôpital Lyon Sud;2024-10-19;Panne;.;2024-11-02 10:00:00
2024-10-21 11:59:00;5160;45;Jean Macé;451;ASCENSEUR;direction St-Genis-Laval Hôpital Lyon Sud et accès place Jean Macé;2024-10-21;Panne;Accès impossible direction Gare d'Oullins;2024-10-21 13:00:00
2024-10-21 11:59:00;5160;45;Jean Macé;452;ASCENSEUR;direction Charpennes et accès place Jean Macé;2024-10-21;Panne;Accès impossible direction Charpennes;2024-10-21 13:00:00
2024-10-21 11:59:00;5160;45;Jean Macé;4501;ESCALIER;du quai direction St-Genis-Laval Hôpital Lyon Sud jusqu'à la sortie place Jean Macé (côté rue Parmentier);2024-10-17;Panne;.;2024-10-21 23:30:00
2024-10-21 11:59:00;5160;45;Jean Macé;4502;ESCALIER;Place Jean Macé face, à la rue Professeur Grignard;2024-09-18;Panne;.;2024-10-21 23:30:00
2024-10-21 11:59:00;5936;51;Oullins Centre;511;ASCENSEUR;entre le quai direction St-Genis-Laval Hôpital Lyon Sud et la mezzanine supérieure;2024-10-21;Panne;connexion impossible entre le quai direction St-Genis-Laval Hôpital Lyon Sud et la mezzanine supérieure;2024-10-21 13:00:00
